"reader","treatment","case","truth","rating","case2","case3"
"4","1","52",0,1,"4.52","1.52"
"4","2","52",0,2,"4.52","2.52"
"5","1","52",0,1,"5.52","1.52"
"5","2","52",0,1,"5.52","2.52"
"1","1","53",0,1,"1.53","1.53"
"1","2","53",0,1,"1.53","2.53"
"2","1","53",0,2,"2.53","1.53"
"2","2","53",0,2,"2.53","2.53"
"3","1","53",0,1,"3.53","1.53"
"3","2","53",0,1,"3.53","2.53"
"4","1","53",0,1,"4.53","1.53"
"4","2","53",0,1,"4.53","2.53"
"5","1","53",0,1,"5.53","1.53"
"5","2","53",0,2,"5.53","2.53"
"1","1","54",0,1,"1.54","1.54"
"1","2","54",0,3,"1.54","2.54"
"2","1","54",0,2,"2.54","1.54"
"2","2","54",0,2,"2.54","2.54"
"3","1","54",0,1,"3.54","1.54"
"3","2","54",0,3,"3.54","2.54"
"4","1","54",0,1,"4.54","1.54"
"4","2","54",0,1,"4.54","2.54"
"5","1","54",0,1,"5.54","1.54"
"5","2","54",0,2,"5.54","2.54"
"1","1","55",0,1,"1.55","1.55"
"1","2","55",0,4,"1.55","2.55"
"2","1","55",0,2,"2.55","1.55"
"2","2","55",0,3,"2.55","2.55"
"3","1","55",0,2,"3.55","1.55"
"3","2","55",0,2,"3.55","2.55"
"4","1","55",0,1,"4.55","1.55"
"4","2","55",0,1,"4.55","2.55"
"5","1","55",0,1,"5.55","1.55"
"5","2","55",0,2,"5.55","2.55"
"1","1","56",0,1,"1.56","1.56"
"1","2","56",0,1,"1.56","2.56"
"2","1","56",0,2,"2.56","1.56"
"2","2","56",0,2,"2.56","2.56"
"3","1","56",0,1,"3.56","1.56"
"3","2","56",0,2,"3.56","2.56"
"4","1","56",0,1,"4.56","1.56"
"4","2","56",0,1,"4.56","2.56"
"5","1","56",0,1,"5.56","1.56"
"5","2","56",0,2,"5.56","2.56"
"1","1","57",0,1,"1.57","1.57"
"1","2","57",0,2,"1.57","2.57"
"2","1","57",0,2,"2.57","1.57"
"2","2","57",0,2,"2.57","2.57"
"3","1","57",0,1,"3.57","1.57"
"3","2","57",0,1,"3.57","2.57"
"4","1","57",0,1,"4.57","1.57"
"4","2","57",0,1,"4.57","2.57"
"5","1","57",0,1,"5.57","1.57"
"5","2","57",0,1,"5.57","2.57"
"1","1","58",0,2,"1.58","1.58"
"1","2","58",0,4,"1.58","2.58"
"2","1","58",0,4,"2.58","1.58"
"2","2","58",0,3,"2.58","2.58"
"3","1","58",0,2,"3.58","1.58"
"3","2","58",0,2,"3.58","2.58"
"4","1","58",0,1,"4.58","1.58"
"4","2","58",0,2,"4.58","2.58"
"5","1","58",0,3,"5.58","1.58"
"5","2","58",0,2,"5.58","2.58"
"1","1","59",0,2,"1.59","1.59"
"1","2","59",0,2,"1.59","2.59"
"2","1","59",0,3,"2.59","1.59"
"2","2","59",0,2,"2.59","2.59"
"3","1","59",0,2,"3.59","1.59"
"3","2","59",0,3,"3.59","2.59"
"4","1","59",0,1,"4.59","1.59"
"4","2","59",0,1,"4.59","2.59"
"5","1","59",0,4,"5.59","1.59"
"5","2","59",0,2,"5.59","2.59"
"1","1","60",0,1,"1.60","1.60"
"1","2","60",0,1,"1.60","2.60"
"2","1","60",0,2,"2.60","1.60"
"2","2","60",0,2,"2.60","2.60"
"3","1","60",0,1,"3.60","1.60"
"3","2","60",0,2,"3.60","2.60"
"4","1","60",0,1,"4.60","1.60"
"4","2","60",0,2,"4.60","2.60"
"5","1","60",0,1,"5.60","1.60"
"5","2","60",0,2,"5.60","2.60"
"1","1","61",0,1,"1.61","1.61"
"1","2","61",0,2,"1.61","2.61"
"2","1","61",0,2,"2.61","1.61"
"2","2","61",0,2,"2.61","2.61"
"3","1","61",0,1,"3.61","1.61"
"3","2","61",0,3,"3.61","2.61"
"4","1","61",0,1,"4.61","1.61"
"4","2","61",0,1,"4.61","2.61"
"5","1","61",0,2,"5.61","1.61"
"5","2","61",0,2,"5.61","2.61"
"1","1","62",0,1,"1.62","1.62"
"1","2","62",0,4,"1.62","2.62"
"2","1","62",0,3,"2.62","1.62"
"2","2","62",0,2,"2.62","2.62"
"3","1","62",0,5,"3.62","1.62"
"3","2","62",0,4,"3.62","2.62"
"4","1","62",0,1,"4.62","1.62"
"4","2","62",0,1,"4.62","2.62"
"5","1","62",0,3,"5.62","1.62"
"5","2","62",0,3,"5.62","2.62"
"1","1","63",0,1,"1.63","1.63"
"1","2","63",0,1,"1.63","2.63"
"2","1","63",0,2,"2.63","1.63"
"2","2","63",0,2,"2.63","2.63"
"3","1","63",0,1,"3.63","1.63"
"3","2","63",0,1,"3.63","2.63"
"4","1","63",0,1,"4.63","1.63"
"4","2","63",0,1,"4.63","2.63"
"5","1","63",0,1,"5.63","1.63"
"5","2","63",0,1,"5.63","2.63"
"1","1","64",0,3,"1.64","1.64"
"1","2","64",0,4,"1.64","2.64"
"2","1","64",0,2,"2.64","1.64"
"2","2","64",0,2,"2.64","2.64"
"3","1","64",0,4,"3.64","1.64"
"3","2","64",0,2,"3.64","2.64"
"4","1","64",0,3,"4.64","1.64"
"4","2","64",0,3,"4.64","2.64"
"5","1","64",0,2,"5.64","1.64"
"5","2","64",0,2,"5.64","2.64"
"1","1","65",0,3,"1.65","1.65"
"1","2","65",0,4,"1.65","2.65"
"2","1","65",0,2,"2.65","1.65"
"2","2","65",0,2,"2.65","2.65"
"3","1","65",0,2,"3.65","1.65"
"3","2","65",0,4,"3.65","2.65"
"4","1","65",0,1,"4.65","1.65"
"4","2","65",0,2,"4.65","2.65"
"5","1","65",0,1,"5.65","1.65"
"5","2","65",0,3,"5.65","2.65"
"1","1","66",0,2,"1.66","1.66"
"1","2","66",0,2,"1.66","2.66"
"2","1","66",0,2,"2.66","1.66"
"2","2","66",0,2,"2.66","2.66"
"3","1","66",0,1,"3.66","1.66"
"3","2","66",0,2,"3.66","2.66"
"4","1","66",0,1,"4.66","1.66"
"4","2","66",0,3,"4.66","2.66"
"5","1","66",0,2,"5.66","1.66"
"5","2","66",0,3,"5.66","2.66"
"1","1","67",0,1,"1.67","1.67"
"1","2","67",0,1,"1.67","2.67"
"2","1","67",0,2,"2.67","1.67"
"2","2","67",0,1,"2.67","2.67"
